Pincode,Enrolment_Count,Update_Count
140417,105,4497
140501,182,7530
140506,11,276
140507,212,7428
140601,163,5618
140602,93,3179
140603,435,19111
140604,57,2729
140701,108,3955
140702,106,3719
140802,40,1565
140901,71,2824
141001,2263,28703
141002,260,4358
141003,2281,26977
141004,4,104
141006,44,1562
141007,2999,27218
141008,3078,42197
141010,987,15769
141012,431,4987
141013,337,7399
141014,379,5773
141015,899,9336
141016,311,8747
141017,51,1248
141101,85,2134
141102,50,1136
141103,14,401
141104,17,1090
141105,25,845
141106,4,112
141107,26,1599
141108,26,1294
141109,102,5613
141110,43,1509
141112,86,2635
141113,22,1181
141114,123,6089
141115,154,5571
141116,154,5217
141117,23,1895
141118,52,1883
141119,40,2387
141120,124,3289
141121,59,1944
141122,34,1423
141123,107,2230
141124,17,740
141125,10,627
141126,72,3109
141201,13,403
141202,18,765
141203,9,611
141204,37,1500
141205,37,1188
141206,30,1363
141401,262,14779
141411,42,2062
141412,15,980
141413,19,924
141414,36,1686
141415,18,963
141416,40,1640
141417,20,1022
141418,27,1362
141419,13,718
141421,150,5696
141422,7,475
141801,53,3011
142001,335,22705
142011,48,2071
142021,51,1579
142022,60,2657
142023,19,1356
142024,27,827
142025,27,1368
142026,478,8400
142027,49,1963
142028,4,32
142029,23,1066
142030,23,962
142031,17,933
142032,38,2290
142033,123,4195
142034,20,1525
142035,71,3207
142036,34,1550
142037,46,2694
142038,117,6990
142039,66,3205
142040,30,1430
142041,27,1644
142042,137,6938
142043,123,8047
142044,146,7773
142045,31,1343
142046,40,1380
142047,132,8521
142048,138,6750
142049,107,3980
142050,64,4634
142052,91,7032
142053,66,3518
142054,25,1442
142055,77,2956
142056,43,2109
142057,32,2396
142058,37,2104
142060,31,3012
143001,5732,99671
143002,84,2681
143003,9,582
143005,3,44
143006,25,363
143008,112,4006
143009,108,4158
143022,150,4932
143026,4,192
143101,183,8064
143102,437,17285
143103,81,3452
143104,10,350
143105,395,20114
143107,124,4839
143108,123,4147
143109,120,5338
143110,289,6920
143111,91,4211
143112,106,4751
143113,77,2349
143114,105,3611
143115,133,5089
143116,114,4919
143117,96,3580
143118,38,1858
143119,60,2748
143149,87,2966
143201,55,3115
143202,54,2625
143203,47,1945
143204,15,730
143205,78,2675
143301,131,5011
143302,113,4498
143303,84,3685
143304,118,4298
143305,166,4760
143401,788,19565
143406,109,3329
143407,42,2410
143408,82,2568
143409,82,3547
143410,61,3295
143411,85,3688
143412,65,2615
143413,67,2577
143414,69,1719
143415,107,4259
143416,278,18046
143419,178,7296
143422,45,1666
143501,173,6227
143502,132,5040
143504,39,1991
143505,1731,40676
143506,87,2257
143507,175,4553
143511,124,5941
143512,83,5360
143513,126,3790
143514,120,5556
143515,107,3483
143516,84,5979
143517,73,3962
143518,169,8814
143519,176,10034
143520,79,4732
143521,455,19342
143525,37,2136
143526,101,4748
143527,167,5867
143528,78,3504
143529,81,2589
143530,95,4289
143531,176,10105
143532,67,3243
143533,67,2170
143534,138,4560
143601,269,8646
143602,261,7438
143603,48,2992
143604,155,9135
143605,40,2804
143606,118,4161
144001,348,13640
144002,284,15010
144003,237,10103
144004,212,10484
144005,110,5522
144006,21,713
144007,47,1337
144008,212,6952
144009,130,4780
144010,5,385
144011,2,52
144012,95,3586
144013,58,2301
144014,9,502
144020,47,1759
144021,119,4681
144022,124,5196
144023,69,2239
144024,45,2147
144025,46,3254
144026,73,3649
144027,7,222
144028,3,364
144029,22,610
144030,16,325
144031,13,869
144032,10,352
144033,31,1899
144034,20,1170
144035,17,982
144036,30,1745
144037,19,1124
144039,105,5392
144040,148,5312
144041,98,5081
144042,27,1143
144043,20,995
144044,11,680
144101,31,1819
144102,94,5099
144103,15,584
144104,7,330
144105,68,2545
144106,26,1326
144201,107,5733
144202,79,4185
144203,72,2162
144204,76,2803
144205,249,11004
144206,14,618
144207,84,3735
144208,77,3707
144209,17,844
144210,57,2558
144211,179,8115
144212,45,1580
144213,22,1254
144214,55,1946
144216,53,2103
144221,117,6637
144222,40,2225
144223,39,1130
144224,36,1513
144301,43,1983
144302,18,856
144303,11,1317
144305,28,1142
144306,82,5324
144311,9,445
144401,1018,13169
144402,54,3497
144403,21,1444
144404,10,624
144405,28,943
144406,7,276
144407,10,1317
144408,4,310
144409,69,4715
144410,164,8443
144416,21,1436
144417,11,717
144418,37,2379
144419,22,1271
144421,18,995
144422,28,747
144501,19,1013
144502,16,1159
144503,36,1410
144504,23,881
144505,158,3615
144506,17,492
144507,28,1140
144508,11,593
144509,19,451
144510,31,655
144511,33,744
144512,19,1021
144513,19,746
144514,118,5148
144515,41,2076
144516,41,1499
144517,54,2958
144518,23,1313
144519,16,939
144520,10,860
144521,133,5703
144522,67,2878
144523,76,2768
144524,27,1411
144525,60,1613
144526,39,1728
144527,104,5726
144528,56,2318
144529,28,1113
144530,23,1364
144531,22,747
144532,29,1566
144533,31,1103
144601,1929,13808
144602,17,566
144606,15,1057
144620,99,4220
144621,58,1947
144622,66,4071
144623,64,2114
144624,29,1704
144625,26,1456
144626,93,6001
144628,40,2832
144629,76,4372
144630,52,2329
144631,14,783
144632,40,3247
144633,10,504
144701,41,2464
144702,96,5246
144703,31,1717
144801,106,4670
144802,54,2378
144803,12,831
144804,94,4264
144805,11,527
144806,44,1202
144819,41,1084
145001,478,20651
145022,48,1567
145023,166,7591
145024,21,506
145025,245,7836
145026,55,2024
145027,64,2041
145029,55,1260
145101,51,1726
146001,1810,32241
146021,17,786
146022,23,1264
146023,25,615
146024,23,1052
146101,18,1063
146102,55,3095
146103,12,444
146104,35,1327
146105,24,1996
146107,7,159
146108,13,976
146109,28,1395
146110,5,446
146111,60,2440
146112,34,1152
146113,43,1729
146114,13,633
146115,7,348
146116,15,653
147001,2722,73328
147002,118,3932
147003,32,963
147004,31,1147
147005,4,300
147021,107,3940
147101,281,24237
147102,120,7547
147103,79,3401
147104,45,2428
147105,271,15297
147111,160,10270
147201,270,20815
147202,111,5409
147203,126,5680
147301,304,11178
147506,18,387
148001,504,16611
148017,1,0
148018,30,1008
148019,34,1022
148020,94,4358
148021,120,4330
148022,93,3498
148023,607,24835
148024,269,13072
148025,98,4360
148026,215,9544
148027,93,4961
148028,254,12407
148029,8,828
148030,97,5377
148031,158,10306
148033,229,10643
148034,51,2770
148035,147,7469
148100,51,3553
148101,374,14367
148102,74,3643
148103,42,2483
148104,67,3855
148105,134,6376
148106,155,6722
148107,88,4670
148108,120,7246
148109,57,4979
151001,867,39953
151002,32,1196
151003,7,364
151004,2,10
151005,99,4024
151101,159,7983
151102,90,4038
151103,247,11918
151104,61,2795
151105,36,1989
151106,42,2385
151108,54,2988
151111,28,1536
151201,236,10943
151202,156,6099
151203,293,21181
151204,198,12007
151205,66,2826
151206,61,4155
151207,67,4408
151208,34,3028
151209,37,2583
151210,79,4595
151211,33,3532
151212,113,5816
151301,170,7130
151302,182,8956
151401,138,10253
151501,129,8758
151502,153,12086
151503,81,6686
151504,89,7237
151505,316,23639
151506,92,7698
151507,99,7389
151508,104,4976
151509,197,10689
152001,69,3049
152002,383,20087
152003,91,5466
152004,56,5003
152005,14,931
152021,94,6484
152022,221,10134
152023,147,6559
152024,449,21441
152025,102,4574
152026,361,22033
152028,58,3197
152031,118,6278
152032,92,4812
152033,74,2537
152101,221,11344
152107,294,13893
152112,99,6492
152113,105,4942
152114,62,3281
152115,36,2016
152116,440,26367
152117,52,3721
152121,91,3901
152122,89,3927
152123,571,25360
152124,105,4983
152128,122,6018
152132,92,4860
160001,9,441
160002,211,10198
160003,40,1995
160009,28,739
160011,22,1205
160012,19,703
160014,468,24368
160015,60,3074
160018,17,485
160019,139,8830
160020,39,2126
160022,67,3901
160023,45,1611
160025,172,8479
160030,74,3186
160036,436,25090
160047,313,22976
160055,171,6833
160059,43,1679
160062,134,4889
160071,62,1907
160101,326,24776
160102,192,10487
160103,184,7244
160104,37,1436
171001,38,1813
171002,14,537
171003,18,874
171004,13,545
171005,17,674
171006,35,1621
171007,41,1392
171009,47,2389
171011,36,1879
171012,38,1113
171018,21,550
171019,21,506
171102,103,2978
171103,31,919
171201,40,1398
171202,56,2002
171203,20,749
171204,13,326
171205,32,1244
171206,50,1199
171207,75,3206
171208,65,2821
171209,54,1148
171210,214,5124
171211,63,2458
171212,14,577
171213,37,984
171214,34,1074
171215,2,75
171216,25,513
171217,65,1551
171218,6,204
171219,8,355
171220,54,1904
171221,18,521
171222,5,203
171223,12,310
171224,15,293
171225,14,549
171226,107,1591
171301,20,564
171302,38,1668
171303,6,273
171304,23,2519
172001,55,2697
172002,34,1638
172021,16,318
172022,41,1281
172023,37,1295
172024,9,330
172025,16,426
172026,54,2234
172027,14,189
172028,6,113
172029,16,419
172030,11,403
172031,7,196
172032,19,601
172033,19,612
172101,23,1272
172102,19,609
172103,2,104
172104,29,741
172105,10,348
172106,9,773
172107,23,957
172108,7,200
172109,12,383
172110,14,324
172111,15,375
172112,5,101
172113,10,161
172114,19,542
172115,13,428
172116,10,263
172117,5,175
172118,7,274
172201,31,798
173001,211,7504
173020,14,146
173021,65,1372
173022,132,3088
173023,102,3221
173024,58,2453
173025,298,11977
173026,8,224
173027,217,7775
173029,199,4433
173030,41,1453
173101,71,2635
173104,72,1878
173204,7,209
173205,98,3568
173206,57,2129
173207,34,1669
173208,47,1182
173209,31,1182
173211,26,1556
173212,64,2537
173213,11,725
173214,7,255
173215,25,1189
173217,32,868
173218,25,1017
173220,46,1727
173221,45,1171
173222,3,117
173223,36,1629
173225,12,315
173229,55,1623
173233,44,982
173234,7,576
174001,136,4747
174002,21,941
174003,23,738
174004,44,1343
174005,3,106
174011,21,575
174012,13,305
174013,20,639
174015,25,675
174017,29,813
174021,77,3384
174023,14,680
174024,18,524
174026,50,1209
174027,44,1174
174028,44,1046
174029,97,2438
174030,68,1557
174031,49,757
174032,19,652
174033,30,881
174034,57,1071
174035,20,658
174036,3,77
174101,268,11245
174102,90,2717
174103,44,1516
174201,35,787
174301,87,3389
174302,10,413
174303,156,6210
174304,10,274
174305,35,756
174306,53,1902
174307,42,1216
174308,41,1035
174309,7,227
174310,39,887
174311,21,791
174312,30,760
174314,24,664
174315,62,2710
174316,21,385
174317,11,335
174319,20,499
174320,8,308
174321,58,1783
174401,61,2746
174402,6,290
174403,22,643
174405,14,395
174503,19,602
174505,10,115
175001,134,5201
175002,38,1454
175003,46,1442
175004,38,678
175005,33,1451
175006,28,1498
175007,5,329
175008,51,2035
175009,33,924
175010,23,102
175011,86,1663
175012,2,120
175013,9,251
175014,1,18
175015,26,442
175016,2,78
175017,7,36
175018,40,952
175019,20,555
175021,16,1048
175023,37,1356
175024,111,3131
175025,28,894
175026,25,577
175027,80,2784
175028,39,780
175029,100,2318
175030,30,815
175031,49,1380
175032,101,2986
175033,41,1426
175034,18,557
175035,57,1534
175036,35,1423
175037,4,101
175038,38,1296
175039,11,430
175040,65,1886
175042,15,439
175045,3,41
175046,49,1441
175047,46,1383
175048,46,883
175049,47,1658
175050,17,509
175051,2,140
175052,21,842
175101,281,3354
175102,43,1070
175103,19,530
175104,16,479
175105,65,1520
175106,83,2006
175121,105,2602
175122,2,31
175123,140,3592
175124,119,3412
175125,114,3497
175126,57,1650
175128,32,590
175129,59,1497
175130,20,347
175131,43,1315
175132,13,199
175133,4,112
175134,62,2135
175136,11,405
175137,1,33
175138,26,687
175139,6,127
175140,5,120
175141,35,878
175142,8,501
175143,17,328
176001,147,5290
176021,56,1773
176022,69,2575
176023,116,3703
176025,45,1380
176026,32,596
176027,53,1559
176028,45,859
176029,68,1961
176030,29,898
176031,101,2470
176032,33,931
176033,26,702
176036,66,1622
176037,26,777
176038,23,697
176039,17,886
176040,22,889
176041,41,1244
176042,27,531
176043,12,467
176044,11,407
176045,51,1367
176047,109,3502
176048,14,363
176049,21,821
176051,67,2525
176052,71,2182
176053,40,979
176054,24,1086
176055,11,126
176056,89,2456
176057,60,1712
176058,53,1559
176059,50,1464
176060,10,407
176061,109,5432
176063,22,893
176064,26,1123
176065,7,157
176066,16,235
176071,7,170
176075,4,57
176076,15,755
176077,31,812
176081,21,690
176082,28,584
176083,56,1493
176084,13,643
176085,25,685
176086,22,644
176087,25,818
176088,17,845
176089,6,83
176090,26,1290
176091,11,411
176092,23,758
176093,13,277
176094,10,212
176095,16,954
176096,21,956
176097,9,215
176098,15,256
176101,16,645
176102,32,852
176103,44,1504
176107,39,987
176108,11,406
176109,20,254
176110,28,1025
176111,33,722
176115,36,1183
176120,121,3363
176121,83,2093
176122,37,2065
176123,10,252
176125,112,3764
176126,32,1358
176128,22,662
176200,55,1792
176201,100,3126
176202,65,2719
176203,22,532
176204,88,2105
176205,29,1099
176206,120,3603
176207,104,3506
176208,58,1871
176209,66,2504
176210,48,1020
176211,37,856
176213,1,39
176214,35,856
176215,72,2664
176216,33,677
176217,38,1235
176218,18,536
176219,16,568
176225,43,943
176301,40,1393
176302,71,2360
176303,37,1435
176304,18,419
176305,3,83
176306,27,1237
176308,27,1230
176309,53,1852
176310,122,3849
176311,120,3687
176312,88,2500
176313,28,958
176314,185,6050
176315,45,1457
176316,169,5574
176317,8,113
176318,42,943
176319,59,1954
176320,106,3477
176321,139,3714
176323,42,3044
176324,83,2220
176325,40,430
176401,89,2732
176402,23,775
176403,117,3466
176501,15,545
176502,6,130
176601,52,1947
177001,140,4238
177005,3,41
177006,10,161
177007,18,327
177020,30,806
177021,5,105
177022,15,484
177023,36,853
177024,55,1049
177025,26,609
177026,34,1042
177027,10,321
177028,17,460
177029,28,806
177031,18,524
177033,36,664
177034,14,460
177038,33,488
177039,6,375
177040,26,517
177041,50,856
177042,31,1045
177043,26,1124
177044,14,367
177045,18,227
177048,38,698
177101,51,1710
177103,41,773
177104,24,744
177105,24,825
177106,21,1028
177107,8,478
177108,31,844
177109,14,414
177110,36,880
177111,5,271
177112,24,574
177113,33,1046
177114,25,442
177117,27,490
177118,7,155
177119,8,149
177201,20,799
177202,13,218
177203,55,1673
177204,55,1617
177205,10,257
177206,19,749
177207,33,1216
177208,53,1492
177209,26,1007
177210,43,1296
177211,63,1618
177212,26,765
177213,37,960
177219,10,283
177220,45,1567
177301,21,425
177401,31,724
177501,11,307
177601,18,548
180001,212,6902
180002,232,5799
180003,141,5243
180004,116,3347
180005,79,2900
180006,66,1912
180007,93,2814
180010,144,4366
180011,70,1826
180013,45,1668
180015,54,1785
180016,21,671
180017,76,2242
180019,13,260
180020,36,1029
181101,166,5662
181102,225,8681
181111,108,3321
181121,56,1391
181122,186,5479
181123,56,2060
181124,5,79
181131,154,5302
181132,276,8857
181133,118,3393
181141,121,3165
181143,89,1591
181145,58,873
181152,40,797
181201,261,8664
181202,119,2959
181203,210,5014
181204,94,2576
181205,77,2274
181206,307,7652
181207,50,1088
181221,288,7055
181224,134,3603
182101,299,8346
182117,127,2184
182121,221,5565
182122,541,13700
182124,214,4892
182125,339,6759
182126,123,3187
182128,198,4495
182141,306,6117
182142,66,1487
182143,381,5567
182144,836,14802
182145,502,9839
182146,628,10137
182147,127,2512
182148,324,5756
182161,28,558
182201,528,8107
182202,577,8273
182203,2308,15380
182204,544,13854
182205,611,11825
182221,209,3664
182222,210,4107
182301,132,2394
182311,279,4001
182312,21,437
182313,452,8765
182315,669,12216
182320,82,913
184101,219,5218
184102,73,1249
184104,112,3110
184120,155,3873
184121,283,7937
184141,111,3160
184142,76,2763
184143,286,5011
184144,253,4946
184145,15,669
184148,156,3795
184151,132,2377
184152,101,3022
184201,230,5451
184202,80,1455
184203,273,4610
184204,347,8065
184205,322,4875
184206,401,5679
185101,734,19073
185102,671,10636
185111,380,21720
185121,844,18398
185131,357,9286
185132,508,11392
185135,118,4183
185151,413,10751
185152,168,3726
185153,80,1898
185154,77,1612
185155,65,2275
185156,68,1761
185201,283,7286
185202,161,4562
185203,220,5767
185212,250,9243
185233,188,3835
190001,192,6827
190002,362,15911
190003,212,9467
190004,18,731
190005,107,3041
190006,324,11028
190007,3,142
190008,82,2905
190009,80,2543
190010,147,5298
190011,224,8799
190012,80,2448
190014,53,1874
190015,264,8365
190017,285,8542
190018,236,5564
190019,66,1635
190020,91,2671
190021,25,1018
190023,82,3427
191101,156,4386
191102,38,474
191103,101,2478
191111,895,26737
191112,167,3916
191113,476,13272
191121,131,4027
191123,44,2360
191131,315,6973
191201,244,5751
191202,315,8435
192101,563,10268
192102,25,1337
192121,236,6732
192122,157,4037
192123,348,12159
192124,352,10278
192125,126,3756
192126,369,7008
192129,80,1972
192201,414,13097
192202,499,12490
192210,102,1723
192211,271,6040
192212,193,6365
192221,149,3840
192231,1145,36160
192232,155,3995
192233,1,12
192301,830,22274
192302,23,634
192303,1119,25788
192304,64,2183
192305,33,825
192306,74,2493
192401,132,3112
193101,770,11212
193103,163,2579
193121,524,16285
193122,324,8059
193123,218,6638
193198,93,2684
193201,810,24844
193202,135,5212
193221,398,9884
193222,667,22825
193223,453,16274
193224,668,28401
193225,228,6314
193301,185,6716
193302,420,10437
193303,190,4415
193401,223,4730
193402,250,6389
193403,49,1123
193404,91,2208
193411,863,17569
193501,446,9862
193502,816,20014
193503,242,2708
193504,162,3794
194101,170,4110
194102,98,1283
194103,248,2758
194104,15,417
194105,202,2118
194106,34,1500
194109,119,1388
194201,34,1689
194301,260,1585
194302,67,1155
194401,77,2227
194403,28,129
194404,4,87
201001,4549,75544
201002,1145,26492
201003,375,5569
201004,4,92
201005,1362,31255
201006,165,4040
201007,293,6994
201008,64,1748
201009,1380,51526
201010,336,8423
201011,90,2133
201012,406,5947
201013,195,4870
201014,461,11864
201015,120,2879
201016,110,1577
201017,192,4582
201019,9,375
201020,2,113
201102,6621,88737
201103,9,100
201201,166,4059
201204,1438,19982
201206,949,21365
201301,8433,65448
201302,415,13371
201303,74,2368
201304,517,21987
201305,107,1672
201306,3472,38893
201307,90,1423
201308,183,2640
201309,358,8413
201310,1926,16349
201311,4,50
201312,3,83
201314,1,12
201315,3,70
201316,4,72
201318,113,3976
202001,11842,140934
202002,1601,25298
202121,334,9585
202122,555,5956
202123,509,8638
202124,372,9540
202125,307,11541
202126,507,6142
202127,181,7249
202128,110,3226
202129,753,10744
202130,302,8969
202131,316,7418
202132,433,7909
202133,2165,16660
202134,226,7468
202135,154,4759
202136,349,4425
202137,365,7979
202138,350,7958
202139,138,4358
202140,235,7915
202141,274,5266
202142,138,3796
202143,68,1584
202145,295,7956
202150,138,4959
202155,319,4573
202165,278,7630
202170,175,3197
202280,387,14058
202281,169,5774
202282,151,4123
202389,204,4784
202390,456,12633
202391,146,2676
202392,403,10950
202393,866,25704
202394,647,14139
202395,537,9409
202396,321,7358
202397,302,8332
202398,494,9906
202399,200,3909
202410,720,17740
202411,1152,30074
202412,864,17937
202413,513,10564
202414,209,8563
202415,106,1991
202421,1023,24001
202520,408,8229
202521,82,1343
202522,1027,21551
202523,762,15907
202524,423,10260
202525,273,7478
202526,375,8216
202527,339,8171
203001,2652,69749
203002,128,2701
203129,266,5622
203131,2888,50934
203132,191,5909
203135,423,8910
203141,262,5719
203150,295,6151
203155,221,4794
203201,393,8898
203202,296,5512
203203,527,10333
203205,1884,21154
203206,4,12
203207,1600,38819
203209,256,5951
203389,6,55
203390,46,865
203391,1,35
203392,30,678
203394,32,708
203395,31,684
203396,36,1654
203397,12,432
203398,9,80
203399,21,99
203401,2,47
203402,10,145
203403,8,228
203407,8,18
203408,36,734
203411,5,106
203412,4,127
204101,2826,36855
204102,262,5019
204211,235,7594
204212,240,9673
204213,372,9369
204214,170,7761
204215,493,17845
204216,391,10723
205001,3597,30264
205119,252,4498
205121,316,7180
205130,256,5592
205135,335,9735
205141,355,7860
205142,351,6569
205145,295,9357
205147,164,5034
205151,339,11744
205152,258,9179
205247,574,6256
205261,521,9538
205262,1717,14840
205263,365,6276
205264,571,9325
205265,713,11543
205267,518,8122
205268,289,8118
205301,115,1444
205302,202,5698
205303,53,1041
205304,90,1805
206001,2636,35351
206002,172,4461
206003,102,3141
206120,175,5529
206121,316,11718
206122,657,22098
206123,517,10746
206124,200,5768
206125,276,6355
206126,274,8985
206127,222,5482
206128,157,5112
206129,254,8954
206130,159,4520
206131,209,5962
206241,292,7757
206242,805,15351
206243,384,9955
206244,454,13358
206245,720,14495
206246,155,4716
206247,249,8065
206248,141,4680
206249,157,4070
206250,140,2590
206251,105,2258
206252,283,9054
206253,572,12665
206255,104,2960
206301,1137,9410
206302,520,7051
206303,336,6044
206451,226,4842
207001,6012,42669
207120,122,4609
207121,382,8594
207122,445,5786
207123,472,21115
207124,254,9640
207125,220,7600
207241,176,6236
207242,2058,25383
207243,1831,14687
207244,797,7026
207245,415,13650
207246,450,9921
207247,606,18910
207248,250,6896
207249,995,8195
207250,164,4054
207301,273,10009
207302,992,21758
207401,263,9235
207402,128,5056
207403,300,12510
207501,377,8645
207502,381,8236
207503,207,4915
207504,111,2819
207505,268,7692
208001,6925,72141
208002,919,10866
208003,255,4199
